deployment_code,temp_error,psal_error,minT,maxT,minS,maxS,min_Nprof,pmax,pmax_fluo,is_lon_center_180
rs29,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
rs31,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
rs32,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
rs34,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
rs6,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
rs9,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
wd04,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN
wd06,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN
wd07,0.03,0.1,-3,32,4,40,30,NaN,NaN,NaN
wd09,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
wd1,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN
wd10,0.1,0.2,-3,32,4,40,10,NaN,NaN,NaN
wd11,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
wd3,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN
vc04,0.1,0.2,-3,32,4,40,30,1000,200,0
ct124,0.1,0.2,-3,32,4,40,30,1000,200,0
vc03,0.1,0.2,-3,32,4,40,30,1000,200,0
pv52,0.1,0.2,-3,32,4,40,30,1000,200,0
DL01,0.1,0.2,-3,32,4,40,30,1000,200,0
ct151,0.1,0.2,-3,32,4,40,30,1000,200,0
ct152,0.1,0.2,-3,32,4,40,30,1000,200,0
ct153,0.1,0.2,-3,32,4,40,30,1000,200,0
ct154,0.1,0.2,-3,32,4,40,30,1000,200,0
ct156,0.1,0.2,-3,32,4,40,30,1000,200,0
ct157,0.1,0.2,-3,32,4,40,30,1000,200,0
hg63,0.1,0.2,-3,32,4,40,30,1000,200,0
wd12,0.1,0.2,-3,32,4,40,30,1000,200,0
wd13,0.1,0.2,-3,32,4,40,30,1000,200,0
hd09,0.1,0.2,-3,32,4,40,30,1000,200,0
ct158,0.1,0.2,-3,32,4,40,30,1000,200,0
ct155,0.1,0.2,-3,32,4,40,30,1000,200,0
wd14,0.1,0.2,-3,32,4,40,30,1000,200,0
ct160,0.1,0.2,-3,32,4,40,30,1000,200,0
sk3,0.1,0.2,4,18,31,36,30,400,200,0
wd16,0.1,0.2,-3,32,4,40,30,1000,200,0
wd17,0.1,0.2,-3,32,4,40,30,1000,200,0
